docs,topic,viewpoint,words,perspective,sum_topic
"Your denying the right to give this child a chance in the world. Your stripping away his opportunity to create something and become a benefit to society. It should be illegal because God did not say lets kill children, he said that every life is valuable and should be treated as such, i.e. Thou Shall Not Kill",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"We have the right to LIFE, liberty, and the pursuit of happiness. Just because a woman believes it is her choice to end another's right to life, doesn't mean it's right. 

God said not to kill, people reason that it isn't fully dependent of his/her mother, so they justify killing.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"God always has a plan for you and if that means you have a SUPRISE baby, so be it! God   will always take care of you and won't ever leave you! That baby is a blessing in your life, take responsibility of your baby and LET HIM LIVE!!!!!! He could grow to be amazing!",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
"Thou Shalt not murder.

God said in Book of Jeramiah that life begins at conception, not birth! We need to make abortion illegal. True, women will due unsafe abortions. THe great news is, since unsafe abortions endanger the mother's life, less people will do it. Babies need life! They are humans and not objects",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
"The reason i think its wrong, is because it has a heart beat, the bible says not to murder, and i think its a gift. If your not responsible enough to take care of a child then dont have sex. God designed us to multipy. This is why i think its wrong.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"The reason for man's existence is to procreate and fill the earth and mankind cannot play God by determining which child dies or lives.All that God wishes to give must be taken as a gift from him whether the baby is ugly or not ,that is what God want to",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"200 thousand babies are aborted a year doesn't that make you think how many lives have been killed because of the selfish decision that a women makes when having a abortion. It goes against gods word 'it is a sin to kill' i am not saying you believe in god or your in a religion that involved god but don't you think if god made that life inside of you, you should do what god wants you to do whether it is from the horror of rape,an accident or you just did not want it.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
"Let us forget the obvious moral issue for a moment and examine some historical facts. I know this will sound crazy to atheists and even some non-catholic Christians, but Padre Pio was given a gift from God to see what aborted children would have grown up to have been. We have two accounts of women who were told what their child would have been if he had not been aborted.   One would have been one of the greatest popes to ever live, the other would have found a cure to cancer. Seriously! Why were these women so greedy as to rod society of what we really need right now, good people. (I know you will laugh at this argument, but it is true.)",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
"Abortion is murder as the catholic church believe that contraception is the beginning of life. Furthermore one of the 10 commandments stat ""thou shall not kill"" which shows that Jesus disproves abortion. Furthermore Children have their own human rights who are we to decide if they live or die even if the child is not born he/she still has human rights.",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[18],3
"Some people say that a fertilized egg isn't a human until birth. This is not true and in the womb, babies have feelings, it is scientifically proven. Also, the government made it illegal to even touch a Bald Eagle's egg in fear that the bird in it might die, but they make abortion legal, which is ending the life of a human, created in the image of God, just like everyone else.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"It is wrong for a woman to kill her baby in her womb. Life is what really counts in our world today. God gave us life. So should we do the same with others, including unborn babies. Every baby is a special gift that women received from God. That is my opinion about abortion and why I am not supporting it.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"Its your fault! Abortion is the ease way out. Killing a child god gave you is wrong. Everything happens for a reason but killing a unborn child is MURDER!!!!!!!!!!!!!! You are a disappointment to Jesus, god and the world and to the insistent child you are killing you are worthless.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
"All people are selfish. We all are. You, me, everyone. Some people think it is alright to kill an innocent baby, just because scientist have 'reason to believe' that it is not living. If the baby is not living, how does it hiccup? How does it kick and squirm? Fetus? To hell with that. 
Read C.S Lewis's Matter of Abortion. It is about a demon writing a letter to another demon on how they think abortion is right. 
           In the article, Matter of Abortion, the author proclaims that humans have a right to deny the freedom to life. The reason the author gives us the right is because he feels we have rights over our own body. The author feels if a woman finds out she is pregnant unplanned, and she feels that the baby inside will ruin her chance in life, she automatically decides to deny the life of her own flesh and blood for her own benefit. God’s gift of life is precious. In our selfish world, humans believe they have the liberty to do whatever they please, to please themselves and to make their lives better. People are easily led to believe that they have authority over their own body, to take a life to make their life better, even if it means taking away a precious gift. In the article, Matter of Abortion, the author says:   “With creative cunning, we have corrupted, ‘loving our neighbor as self’ into ‘sparing my neighbor from any discomfort I would want to be spared from.’ Since I would want my daughter spared from the punishment- as one of statesmen have called it- of an unplanned pregnancy, I will not deny my neighbor’s daughter the same relief.”   The goal of abortion is to rid the ‘discomfort’. In the eyes of the devil, “abortion does the cause no good, unless it delivers souls to the nether banquet.” If all their (evil) work succeeds only in the death of the baby, for which the mother later feels remorse and seeks forgiveness, they have failed miserably. What they seek in abortion is not only the death of a baby, but the feeling of the inability for forgiveness. They want her to feel lost, alone and disgraceful. To fulfill the hopelessness of any possibility to be loved again or be forgiven. They want her to be isolated from everything and everyone, especially from God.   But what the devil doesn't understand is that God forgives. He is ultimately, true love. His grace is unconditional, and He forgives.
Acts 13:38 says: Therefore, my friends, I want you to know that through Jesus the forgiveness of sins is proclaimed to you. Through Christ, our Savior, we can be saved. We can be forgiven through Him. Look at the Apostle Paul. He was murdering Christians for their faith. God confronted him, and Paul repented. He was washed from his sins, through the blood of Christ. Because Christ died for us, we now have a way to be saved.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[18],1
"God made the baby in his image. The mother cannot decide whether she wants his creation or not. The poor innocent baby had nothing to do with why she is pregnant and should not be punished because of the situation. The difference between her and the baby is her size, and level of development, and that the baby has no say in what is to happen to him or her.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
"Countries like China are killing more babies than having them.This 
will wipe out their society.The last thing I want to see is that happening to the U.S.It's murder and is wrong in God's eyes.May       God save us from this holocaust in this land.I think abortion doctors are murderers like Adolf Hitler.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"Bible-believers hold God’s Word as their absolute authority. There is absolute morality because there’s an absolute authority. And as a result, we believe that abortion kills a human being because each human being is designed in God’s image (Genesis 1:27) and carefully knit together in the mother’s womb by God (Psalm 139:13–16). The Bible makes no distinction between life that’s been born and life that hasn't been. Therefore, murdering an unborn life is just as heinous as murdering a life that has been born.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
"Ok, so you're pregnant, and probably had great sex with this stranger from a bar you've been to 2 weeks ago. He won't be the dad, but you'll HAVE to be the mom. Remember a foetus will turn in to a child once you give labour, something you used to be. You were the one taking the decision of hooking up with a guy in a bar, so you must've known better. Stay abstinent if you aren't ready to be a mother, you might as well be too drunk to get equipped before sex, so to be safe, take the pill. Since there is a risk of either methods not working, and you DO get pregnant, then there is nothing else you can do but make your own decisions reasonably, there are points where this debate could come to a clear end. You're either a bit dumb if it was YOUR conscious mistake, unless it was meant to be. Otherwise, you were most definitely taught the consequences of fooling around. But if it was rape, or a critical situation where your life might have been in clear danger, people would understand. You wouldn't want to care for a rapist's son.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
"I believe that abortion is wrong for many reasons but just the tip of the iceberg is that it is just immoral.  It is a proven fact that a fetus has a heartbeat after 5 weeks, around the same time some doctors like to perform them. In the Bible one of God's 10 commandments is ""thou shall not kill"".  Even if you do not believe in god you cannot deny the fact that it is killing children.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[18],5
"For the Christians out there, if the life of the mother is in danger, abortion is still immoral.   God reserves the right to take someone home, whether that person is 20 weeks in the womb, or 20 years.   And a large percentage of those abortions because ""the life of the mother is in danger,"" are called that because the physician can earn more money for that diagnosis.   In fact, many times, a pregnancy cures the ailment rather than furthering it.",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[18],3
"Everyone is born with the same rights as a human. How selfish of people to take a life that is not there own but the babies own life. Even if the baby is brought up by bad parents they still deserve a chance to choose and make there own choice, God would rather someone who sins then not someone at all. God loves all human life and it is a gift to be taken care of, even if the baby is not brought up by his/her own parents, better that then not at all.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
"Why is abortion not considered murder, but if one kills a pregnant woman, they are charged with a double homicide?   Why is it unacceptable for a stranger to kill an unborn baby, but it's acceptable for mothers and doctors to do so? The baby that you are thinking about aborting could be the next Einstein or Beethoven or they could find a cure for cancer.   Children are gifts from God. Even if you cannot provide for the baby, they are plenty of couples that long for a baby, but aren't able to have one. You could put the baby up for adoption and answer someone's prayers",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[18],6
"God created all life on earth. Women should think of themselves as god when abortion comes into play in their life. You see, god believes, as read in the bible, that we are all created in his image. Now, that child that rest in your belly women, that's god's creation. If that baby wasn't intended by you, it was intended by god. Keep in mind that their are many organizations willing to help a pregnant women, woman. So come on, don't commit murder on what's growing inside. See, a babies heart beats after 2 weeks. It's murder after you abort. Is that really what you want to live with the rest of your life?",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[18],4
A baby is living in the womb and deserves a chance. If your raped give the baby away. Pro-abortionists say that outlawing abortion would restrict a woman’s right to privacy. Is that right absolute? Does somebody’s right to privacy exceed another’s right to live? God created life and it is a sin to take it away.,1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[18],2
